ModelID,PatientID,CellLineName,StrippedCellLineName,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000493,PT-nNGWmq,SNU-423,SNU423,HCC,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000494,PT-dZGXnc,OELE,OELE,ZIMMOV,Ovary/Fallopian Tube,Non-Cancerous,Immortalized Ovarian Cells,
ACH-000495,PT-GcbNSr,TUHR4TKB,TUHR4TKB,RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000496,PT-5umTu0,NCI-H1792,NCIH1792,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000498,PT-pWs9uO,KO52,KO52,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000499,PT-m8xCzo,EW8,EW8,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000500,PT-7wjU8J,SNU-46,SNU46,LXSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,LXSC
ACH-000501,PT-kCvNaO,LS123,LS123,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000502,PT-HGOuqa,TCC-PAN2,TCCPAN2,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000503,PT-9uZV0s,BICR 16,BICR16,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000504,PT-YFHa1n,SNB75,SNB75,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000505,PT-yLm1aj,RKN,RKN,LMS,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,LMS
ACH-000506,PT-VTukYY,NCI-H146,NCIH146,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000507,PT-6nN2YI,KE-39,KE39,STAD,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000508,PT-YUXlCn,COR-L88,CORL88,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000509,PT-PrSlzw,HuT 78,HUT78,SS,Lymphoid,Mature T and NK Neoplasms,Sezary Syndrome,SS
ACH-000510,PT-7qWq2K,NCI-H1299,NCIH1299,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000511,PT-R4QjAn,Calu-1,CALU1,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000512,PT-H09155,INA6,INA6,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000513,PT-yzeH2y,SNU-1272,SNU1272,CCRCC,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000514,PT-Jj10yy,NCI-H1092,NCIH1092,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000515,PT-BuE22y,HCC-33,HCC33,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000516,PT-gEiUjw,CAL-78,CAL78,DDCHS,Bone,Chondrosarcoma,Dedifferentiated Chondrosarcoma,DDCHS
ACH-000517,PT-V7OSXp,SNU-410,SNU410,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000518,PT-czsVU5,CAL-33,CAL33,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000519,PT-qXF8IT,PEER,PEER,TLL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-000520,PT-tv8Ku2,59M,59M,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000521,PT-hEuGfg,NCI-H2030,NCIH2030,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000522,PT-sPPqcj,UM-UC-3,UMUC3,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000523,PT-RZo2RD,NCI-H1184,NCIH1184,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000524,PT-6ZFCGi,KURAMOCHI,KURAMOCHI,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000525,PT-NNs10U,NCI-H2171,NCIH2171,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000526,PT-GaHenH,Hs 821.T,HS821T,ZFIBBON,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000527,PT-oYazft,OVISE,OVISE,CCOV,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,CCOV
ACH-000528,PT-id2eBb,ABC-1,ABC1,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000529,PT-dpzREw,T1-73,T173,ZFIBBON,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000530,PT-Dxq8HG,DMS 114,DMS114,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000531,PT-omRFB9,RS-5,RS5,ZFIBLUN,Fibroblast,Non-Cancerous,"Fibroblast, Lung",
ACH-000532,PT-663aNr,SNU-61,SNU61,READ,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ
ACH-000533,PT-x2jmX9,NCI-H2004 RT,NCIH2004RT,MRT,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT
ACH-000534,PT-kwERT7,WSU-DLCL2,WSUDLCL2,DLBCLNOS,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000535,PT-xfjEoE,BxPC-3,BXPC3,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000536,PT-jtQBfm,BT-20,BT20,IDC,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000537,PT-CLc6my,SNU-761,SNU761,HCC,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000538,PT-AXbbCE,HUTU80,HUTU80,DA,Bowel,Small Bowel Cancer,Duodenal Adenocarcinoma,DA
ACH-000539,PT-XVtYa8,Hs 618.T,HS618T,ZFIBLUN,Fibroblast,Non-Cancerous,"Fibroblast, Lung",
ACH-000540,PT-vhNbvZ,Hs 606.T,HS606T,ZFIBBRE,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000541,PT-K9dsbf,KMS-34,KMS34,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000542,PT-0hMOxQ,Hey-A8,HEYA8,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000543,PT-Jxj2hs,SNU-489,SNU489,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000544,PT-SDTBu5,OE21,OE21,ESCC,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000545,PT-LSFu4z,VM-CUB1,VMCUB1,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000546,PT-F3GXIi,HSC-4,HSC4,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000547,PT-Tid1hK,HT-1197,HT1197,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000548,PT-p0K5QM,BHY,BHY,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000549,PT-1JhWBd,SNU-1076,SNU1076,LXSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,LXSC
ACH-000550,PT-Wg8rkx,IGR-39,IGR39,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000551,PT-y8u0p3,K-562,K562,CMLBCRABL1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000552,PT-sF39aT,HT-29,HT29,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000553,PT-yEcMkf,Sq-1,SQ1,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000554,PT-i8kZN9,UACC-893,UACC893,ILC,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ILC
ACH-000555,PT-n8dkSy,A-498,A498,RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000556,PT-ahSjGm,SIHA,SIHA,CESC,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC
ACH-000557,PT-CVf0Wr,AML-193,AML193,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000558,PT-LA0Wfj,A-172,A172,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000559,PT-xIjoai,NCI-H1836,NCIH1836,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000560,PT-mjQUio,ECC10,ECC10,STSC,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Small Cell Carcinoma of the Stomach,STSC
ACH-000561,PT-k9mv4v,T.T,TDOTT,ESCC,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000562,PT-TdkTP0,HCC-78,HCC78,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000563,PT-YTpbR2,EBC-1,EBC1,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000564,PT-QKo5S3,KHM-1B,KHM1B,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000565,PT-XIcCcb,RCM-1,RCM1,READ,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ
ACH-000566,PT-OoHSSv,SW-1710,SW1710,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000567,PT-PA3Bay,ST486,ST486,BL,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000568,PT-4c0rgH,UACC-812,UACC812,ILC,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ILC
ACH-000569,PT-uTRkEi,IST-MES1,ISTMES1,PLEMESO,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000570,PT-mxsdQX,YKG1,YKG1,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000571,PT-dw7sni,T98G,T98G,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000572,PT-GdtXdl,G-361,G361,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000573,PT-aOGEYV,MDA-MB-436,MDAMB436,BRCNOS,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BRCNOS
ACH-000574,PT-WpzPv5,FU-OV-1,FUOV1,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000575,PT-Gfa8CF,HCC-364,HCC364,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000576,PT-EvS9IW,KMS-27,KMS27,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000577,PT-DNXpFr,JHH-2,JHH2,HCC,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000578,PT-JbQXVN,HCC-1171,HCC1171,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000579,PT-KoNkGk,UACC-257,UACC257,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000580,PT-Dlqu1U,C32,C32,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000581,PT-NDi54R,SNU-16,SNU16,STAD,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000582,PT-l2xN1V,COLO 741,COLO741,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000583,PT-Lrf7XT,MC116,MC116,MBN,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,MBN
ACH-000584,PT-g4qhEH,JHOS-4,JHOS4,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000585,PT-HU0uli,EPLC-272H,EPLC272H,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000586,PT-0a2F5a,NCI-H1876,NCIH1876,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000587,PT-HkdFKw,NCI-H1975,NCIH1975,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000588,PT-wXGfqR,KMS-26,KMS26,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000589,PT-KKsvGZ,NCI-H1437,NCIH1437,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000590,PT-v8h3uk,NCI-H2073,NCIH2073,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000591,PT-8XX4Me,LN-235,LN235,ASTR,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000592,PT-ruaWWk,TM-31,TM31,ASTR,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000593,PT-SQ6fkx,BC-3C,BC3C,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000594,PT-lo0Jdx,DMS 153,DMS153,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000595,PT-jhnjmL,LN-229,LN229,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000596,PT-9Zamyo,LCLC-97TM1,LCLC97TM1,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000597,PT-XDzUk4,TTC-709,TTC709,ERT,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,
ACH-000598,PT-smSaav,KMS-21BM,KMS21BM,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000599,PT-cDj854,PA-TU-8902,PATU8902,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000600,PT-d0vDzs,SLR 26,SLR26,CCRCC,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000601,PT-EzM7Ui,MIA PaCa-2,MIAPACA2,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000602,PT-JpUzYa,M-07e,M07E,AMKL,Myeloid,Acute Myeloid Leukemia,Acute Megakaryoblastic Leukemia,AMKL
ACH-000603,PT-BPHtVG,BEN,BEN,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
ACH-000604,PT-yTztZ0,KYO-1,KYO1,CMLBCRABL1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000605,PT-4Pwq3T,TE-6,TE6,ESCC,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000606,PT-qno39F,PE/CA-PJ34 (clone C12),PECAPJ34CLONEC12,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000607,PT-UnVDKb,KYM-1,KYM1,ERMS,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,ERMS
ACH-000608,PT-lr2HyG,COV644,COV644,MOV,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,MOV
ACH-000609,PT-w4DAqh,SF126,SF126,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000610,PT-mtt5MQ,NCI-H2227,NCIH2227,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000611,PT-zkZBHL,SU-DHL-6,SUDHL6,DLBCLNOS,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000612,PT-DxsAw3,HuT 102,HUT102,MYCF,Lymphoid,Mature T and NK Neoplasms,Mycosis Fungoides,MYCF
ACH-000613,PT-epgMPc,HOS,HOS,OS,Bone,Osteosarcoma,Osteosarcoma,OS
ACH-000614,PT-Zy2EsL,RVH-421,RVH421,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000615,PT-xtiBPE,SK-MEL-28,SKMEL28,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000616,PT-8WpAkT,Hs 746T,HS746T,STAD,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000617,PT-hZYskw,OVCAR-4,OVCAR4,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000618,PT-BJe5Qe,SNU-1041,SNU1041,HPHSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,HPHSC
ACH-000619,PT-UF0NQM,PE/CA-PJ15,PECAPJ15,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000620,PT-JMO4rY,JHH-1,JHH1,HCC,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000621,PT-ER2PWK,MDA-MB-157,MDAMB157,IDC,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000622,PT-25ATIE,KNS-42,KNS42,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000623,PT-llEy7t,SNU-201,SNU201,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000624,PT-j1ziCB,HCC1806,HCC1806,DCIS,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,DCIS
ACH-000625,PT-oPfLLk,Hep 3B2.1-7,HEP3B217,HCC,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000626,PT-e6abeY,U266B1,U266B1,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000627,PT-Rd3J4D,LCLC-103H,LCLC103H,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000628,PT-QC2SAk,NCI-H596,NCIH596,LUAS,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS
ACH-000629,PT-Aw6i69,IOMM-Lee,IOMMLEE,MNG,CNS/Brain,Meningothelial Tumor,Meningioma,MNG
ACH-000630,PT-uty9xg,YD-8,YD8,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000631,PT-j6IJnV,KS-1,KS1,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000632,PT-CeiJLF,Hs 944.T,HS944T,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000633,PT-zUYVjw,FU97,FU97,DSTAD,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,DSTAD
ACH-000634,PT-FYoibe,LN-340,LN340,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000635,PT-vHYCC2,SNU-119,SNU119,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000636,PT-yCJrgB,RPMI-8402,RPMI8402,TLL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-000637,PT-bnLm4Y,KYSE-520,KYSE520,ESCC,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000638,PT-xglezn,NCI-H441,NCIH441,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000639,PT-PkJ80f,NCI-H211,NCIH211,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000640,PT-Zpoh5W,SK-MEL-31,SKMEL31,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000641,PT-XYdNvp,CMK,CMK,MLADS,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,MLADS
ACH-000642,PT-FzOtZ1,HMEL,HMEL,ZIMMBR,Breast,Non-Cancerous,Immortalized Breast Cells,
ACH-000643,PT-wBDiHn,HDQ-P1,HDQP1,IDC,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000644,PT-w6ABKA,COLO 829,COLO829,SKCM,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000645,PT-igc1W1,JL-1,JL1,PLEMESO,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000646,PT-nonBNX,OVMANA,OVMANA,CCOV,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,CCOV
ACH-000647,PT-bxGrwa,TE-1,TE1,ESCC,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000648,PT-pVwyuS,NCI-H28,NCIH28,PLEMESO,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000649,PT-4QH2lI,786-O,786O,CCRCC,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000650,PT-Wg8rkx,IGR-37,IGR37,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000651,PT-IPboWn,SW 620,SW620,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000652,PT-ETHfq8,SUIT-2,SUIT2,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000653,PT-vA8rQh,JJN-3,JJN3,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000654,PT-WEYO1e,Raji,RAJI,BL,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000655,PT-ZQKvHU,SF268,SF268,ASTR,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000656,PT-qpbJK2,SU-DHL-8,SUDHL8,DLBCLNOS,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000657,PT-ug3gCf,A2780,A2780,EOV,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,EOV
ACH-000658,PT-iwlil6,KMS-18,KMS18,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000659,PT-hfsFIb,SCLC-21H,SCLC21H,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000660,PT-PDsx7s,SU-DHL-5,SUDHL5,DLBCLNOS,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000661,PT-VxRt2m,WM1799,WM1799,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000662,PT-S1tr6I,COR-L23,CORL23,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000663,PT-kymkHN,OVTOKO,OVTOKO,CCOV,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,CCOV
ACH-000664,PT-jm7IYN,SU-DHL-1,SUDHL1,ALCLALKP,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP
ACH-000665,PT-41lHFE,SK-MES-1,SKMES1,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000666,PT-ELrBOm,NCI-H1355,NCIH1355,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000667,PT-uY17tx,HCC-44,HCC44,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000668,PT-3DyHhv,HCC70,HCC70,IDC,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000669,PT-sj3DbQ,SW 900,SW900,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000670,PT-CGv0xl,SBC-5,SBC5,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000671,PT-TtIXsL,HuH-6,HUH6,LIHB,Liver,Hepatoblastoma,Hepatoblastoma,LIHB
ACH-000672,PT-C7amr4,IA-LM,IALM,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000673,PT-6DJ7vB,LN-443,LN443,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000674,PT-1QXwef,NUGC-4,NUGC4,DSTAD,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,DSTAD
ACH-000675,PT-HfJpz7,NCI-H1734,NCIH1734,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000676,PT-iObwE0,LN-464,LN464,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000677,PT-Z9x3iF,SW 1573,SW1573,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000678,PT-YUTQOS,MKN7,MKN7,TSTAD,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,TSTAD
ACH-000679,PT-Tt2TJf,OE-19,OE19,ESCC,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000680,PT-R9aZKI,SW948,SW948,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000681,PT-cqv92I,A549,A549,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
